# Time (s)	Generation (V)	PC (V)	PL (V)
1.781979294613091677e-03	-3.015917670738123800e-04	-1.335679680595231638e-03	-3.142595288740076750e-03
1.815318476925777960e-03	-3.847053751053929244e-04	-1.480645275902914499e-03	-3.730189167643169386e-03
1.848657659238465327e-03	-5.009999971847653357e-04	-1.522202079881611369e-03	-4.368682077477115469e-03
1.881996841551151394e-03	-5.815364390638868208e-04	-1.628832328856563705e-03	-5.036168106058699738e-03
1.915336023863837894e-03	-7.052404137856874535e-04	-1.716778123327967814e-03	-5.778714097946629005e-03
1.948675206176523960e-03	-8.202464527723947246e-04	-1.839837806423262135e-03	-6.624346734728864261e-03
1.982014388489209810e-03	-1.004191685985014217e-03	-1.959353886079603837e-03	-7.655857478079533714e-03
2.015353570801895877e-03	-1.452296448407003424e-03	-2.305338440043384635e-03	-1.055967941093647125e-02
2.048692753114581943e-03	-2.315324958842011980e-03	-2.946086370796049351e-03	-1.624555216150537149e-02
2.082031935427268009e-03	-4.542318645501886368e-03	-4.449218518998924142e-03	-3.075886307403007114e-02
2.115371117739955377e-03	-8.764683203992467558e-03	-7.635884440148661342e-03	-5.803816597448974851e-02
2.148710300052642744e-03	-1.464835346154814109e-02	-1.273706263829726265e-02	-9.485781499958072238e-02
2.182049482365330546e-03	-2.109771165986197572e-02	-1.884977852032667170e-02	-1.348322368227686530e-01
2.215388664678016612e-03	-2.747200987171643030e-02	-2.522407674028292676e-02	-1.743005672338523715e-01
2.248727846990702679e-03	-3.377285882736776740e-02	-3.159193202223809643e-02	-2.132260817880519965e-01
2.282067029303388745e-03	-4.006500982603574540e-02	-3.790534464837384127e-02	-2.520649390176261107e-01
2.315406211616074812e-03	-4.629176521476974920e-02	-4.418074405383540237e-02	-2.909579167642806774e-01
2.348745393928761745e-03	-5.260582208427516671e-02	-5.046967356090209522e-02	-3.298241565981347434e-01
2.382084576241447812e-03	-5.890828168691866068e-02	-5.684010592486488100e-02	-3.686501285471836531e-01
